event_id,user_id,amount,status,event_dt
53,1975,86.65,COMPLETE,2024-03-29
54,1962,243.73,COMPLETE,2024-02-29
55,1413,19.52,NEW,2024-01-14
56,1824,0.71,COMPLETE,2024-01-09
57,1894,163.73,COMPLETE,2024-03-30
58,1725,7.99,PENDING,2024-02-22
59,1456,53.39,PENDING,2024-05-09
60,1284,113.6,PENDING,2024-03-24
61,1238,27.02,COMPLETE,2024-04-01
62,1676,8.77,COMPLETE,2024-04-20
63,1598,146.98,NEW,2024-07-06
64,1652,99.47,COMPLETE,2024-07-17
65,1671,446.46,NEW,2024-06-20
66,1557,42.21,NEW,2024-01-08
67,1371,6.38,COMPLETE,2024-06-23
68,1494,132.56,COMPLETE,2024-02-04
69,1623,73.76,PENDING,2024-03-21
70,1918,23.98,PENDING,2024-06-12
71,1044,152.2,COMPLETE,2024-02-19
72,1400,22.78,PENDING,2024-04-13
73,1246,30.2,COMPLETE,2024-05-11
74,1615,9.71,NEW,2024-01-02
75,1596,50.99,NEW,2024-05-13
76,1449,54.29,PENDING,2024-02-23
77,1484,72.27,PENDING,2024-04-15
78,1645,123.43,COMPLETE,2024-01-04
79,1619,236.55,PENDING,2024-02-23
80,1017,14.82,PENDING,2024-07-09
81,1605,5.59,NEW,2024-05-25
82,1661,1.87,NEW,2024-02-13
83,1757,15.5,COMPLETE,2024-06-10
84,1288,107.28,COMPLETE,2024-07-08
85,1413,130.0,NEW,2024-01-14
86,1720,154.41,COMPLETE,2024-04-04
87,1637,27.93,COMPLETE,2024-02-17
88,1234,36.51,COMPLETE,2024-01-15
89,1415,66.0,NEW,2024-07-18
90,1937,6.53,PENDING,2024-07-08
91,1498,94.45,NEW,2024-02-09
92,1973,411.87,COMPLETE,2024-03-22
93,1633,44.75,COMPLETE,2024-04-20
94,1649,139.77,PENDING,2024-02-22
95,1114,69.32,PENDING,2024-01-24
96,1931,13.68,NEW,2024-06-02
97,1673,87.28,NEW,2024-07-06
98,1712,35.65,COMPLETE,2024-05-03
99,1233,3.5,NEW,2024-02-10
100,1539,100.77,NEW,2024-06-05
101,1010,195.85,COMPLETE,2024-01-15
102,1205,42.28,PENDING,2024-02-14
103,1678,49.48,COMPLETE,2024-03-05
104,1246,221.66,NEW,2024-03-29
105,1558,167.99,PENDING,2024-03-11
106,1757,125.51,PENDING,2024-01-09
107,1126,28.61,COMPLETE,2024-03-28
108,1146,241.04,NEW,2024-05-08
109,1117,16.77,PENDING,2024-05-15
110,1910,98.56,COMPLETE,2024-03-03
111,1381,2.92,PENDING,2024-05-18
112,1411,103.2,PENDING,2024-03-21
113,1663,32.45,NEW,2024-05-15
114,1583,59.72,NEW,2024-06-11
115,1362,42.35,COMPLETE,2024-06-11
116,1508,18.97,COMPLETE,2024-02-02
117,1136,97.28,COMPLETE,2024-05-02
118,1174,213.69,COMPLETE,2024-01-05
119,1288,319.62,PENDING,2024-02-10
120,1957,21.36,COMPLETE,2024-01-28
121,1480,126.36,NEW,2024-05-14
122,1018,109.17,PENDING,2024-03-12
123,1194,42.06,NEW,2024-01-12
124,1329,1.93,NEW,2024-06-10
125,1935,117.05,COMPLETE,2024-02-02
126,1174,290.95,PENDING,2024-02-17
127,1448,100.0,PENDING,2024-05-30
128,1924,57.14,PENDING,2024-03-02
129,1945,74.48,PENDING,2024-02-06
130,1353,22.27,NEW,2024-04-08
131,1498,138.85,COMPLETE,2024-06-20
132,1140,137.21,PENDING,2024-04-13
133,1757,15.73,COMPLETE,2024-02-04
134,1896,210.36,NEW,2024-07-11
135,1929,31.36,NEW,2024-04-10
136,1092,403.17,COMPLETE,2024-06-23
137,1943,48.27,COMPLETE,2024-05-10
138,1238,19.59,PENDING,2024-01-01
139,1204,43.34,COMPLETE,2024-01-05
140,1559,58.01,COMPLETE,2024-05-21
141,1432,7.18,COMPLETE,2024-04-12
142,1244,86.33,COMPLETE,2024-01-27
143,1831,91.04,COMPLETE,2024-05-16
144,1316,134.3,NEW,2024-01-15
145,1924,2.96,COMPLETE,2024-03-30
146,1294,77.92,PENDING,2024-02-11
147,1639,5.44,COMPLETE,2024-05-03
148,1855,120.78,NEW,2024-06-27
149,1281,5.73,PENDING,2024-03-03
150,1016,242.73,PENDING,2024-04-05
151,1070,121.09,PENDING,2024-02-21
152,1268,70.8,NEW,2024-04-05
153,1324,58.25,PENDING,2024-05-11
154,1793,14.0,COMPLETE,2024-05-30
155,1304,34.39,COMPLETE,2024-05-22
156,1450,203.22,NEW,2024-06-19
157,1006,234.81,COMPLETE,2024-01-29
158,1313,0.07,NEW,2024-02-05
159,1816,90.17,NEW,2024-01-13
160,1102,127.05,COMPLETE,2024-06-08
161,1820,96.43,COMPLETE,2024-03-11
162,1192,8.52,PENDING,2024-07-05
163,1752,24.55,PENDING,2024-03-26
164,1573,28.81,PENDING,2024-01-28
165,1528,178.22,PENDING,2024-03-06
166,1170,62.21,NEW,2024-06-18
167,1536,66.71,COMPLETE,2024-02-14
168,1250,273.17,COMPLETE,2024-03-02
169,1764,101.36,COMPLETE,2024-07-03
170,1386,228.94,PENDING,2024-05-13
171,1206,60.97,COMPLETE,2024-01-28
172,1540,16.19,PENDING,2024-01-28
173,1628,265.83,NEW,2024-04-17
174,1415,61.38,NEW,2024-02-13
175,1793,20.04,COMPLETE,2024-03-24
176,1379,36.01,COMPLETE,2024-01-30
177,1143,5.21,NEW,2024-07-08
178,1024,63.17,NEW,2024-03-15
179,1821,191.82,PENDING,2024-05-07
180,1667,271.18,COMPLETE,2024-04-01
181,1072,269.71,NEW,2024-07-08
182,1631,13.38,NEW,2024-05-08
183,1823,48.14,COMPLETE,2024-04-30
184,1832,2.86,PENDING,2024-01-27
185,1092,193.22,NEW,2024-07-08
186,1504,44.43,NEW,2024-04-30
187,1597,99.73,COMPLETE,2024-04-25
188,1335,125.49,PENDING,2024-01-03
189,1424,56.18,COMPLETE,2024-04-12
190,1498,36.59,COMPLETE,2024-07-16
191,1363,327.58,NEW,2024-07-18
192,1946,333.79,PENDING,2024-06-03
193,1629,34.17,PENDING,2024-05-16
194,1744,65.32,NEW,2024-03-02
195,1198,360.62,COMPLETE,2024-06-13
196,1717,0.49,COMPLETE,2024-02-20
197,1412,53.22,NEW,2024-06-20
198,1338,10.59,NEW,2024-05-31
199,1658,71.16,NEW,2024-02-28
200,1961,2.5,NEW,2024-04-27
201,1936,52.24,PENDING,2024-06-08
202,1428,24.94,PENDING,2024-04-05
203,1782,76.21,COMPLETE,2024-06-28
204,1898,551.99,NEW,2024-04-22
205,1138,161.21,PENDING,2024-03-02
206,1692,186.85,COMPLETE,2024-07-04
207,1941,100.86,PENDING,2024-02-21
208,1541,4.24,NEW,2024-01-12
209,1056,23.17,NEW,2024-02-08
210,1231,259.11,PENDING,2024-05-09
211,1657,45.59,COMPLETE,2024-05-10
212,1434,10.94,COMPLETE,2024-04-22
213,1383,121.2,COMPLETE,2024-04-10
214,1559,35.59,COMPLETE,2024-04-22
215,1193,31.31,PENDING,2024-07-02
216,1735,620.34,COMPLETE,2024-03-21
217,1647,195.29,COMPLETE,2024-07-05
218,1533,52.41,PENDING,2024-04-22
219,1517,392.52,NEW,2024-01-02
220,1715,105.01,PENDING,2024-05-09
221,1750,135.49,NEW,2024-02-23
222,1184,3.2,NEW,2024-03-27
223,1871,12.97,COMPLETE,2024-05-08
224,1291,100.26,COMPLETE,2024-05-26
225,1334,229.29,NEW,2024-05-05
226,1731,97.75,PENDING,2024-05-09
227,1115,14.39,COMPLETE,2024-02-22
228,1824,12.3,COMPLETE,2024-06-20
229,1048,185.91,PENDING,2024-06-08
230,1684,15.0,COMPLETE,2024-07-16
231,1081,73.45,COMPLETE,2024-06-08
232,1833,3.78,COMPLETE,2024-03-08
233,1332,8.41,PENDING,2024-07-01
234,1556,111.58,NEW,2024-07-02
235,1334,116.85,COMPLETE,2024-05-02
236,1531,41.77,NEW,2024-05-24
237,1959,24.28,COMPLETE,2024-02-07
238,1220,168.05,NEW,2024-01-24
239,1634,24.48,PENDING,2024-03-09
240,1745,78.09,PENDING,2024-04-25
241,1732,344.86,NEW,2024-04-07
242,1322,16.0,COMPLETE,2024-07-16
243,1850,282.81,NEW,2024-05-18
244,1002,20.2,COMPLETE,2024-05-23
245,1693,83.8,COMPLETE,2024-04-06
246,1205,47.32,PENDING,2024-05-03
247,1831,335.04,COMPLETE,2024-07-05
248,1039,31.96,NEW,2024-03-10
249,1058,51.03,COMPLETE,2024-04-02
250,1950,406.63,PENDING,2024-01-03
251,1573,76.89,PENDING,2024-05-27
252,1643,69.84,PENDING,2024-07-05
253,1506,29.81,COMPLETE,2024-06-12
254,1571,120.85,COMPLETE,2024-05-26
255,1883,1.45,NEW,2024-03-30
256,1842,5.08,PENDING,2024-07-13
257,1121,91.47,NEW,2024-05-26
258,1478,41.81,COMPLETE,2024-05-27
259,1618,306.44,NEW,2024-04-05
260,1095,233.5,COMPLETE,2024-07-17
261,1858,125.07,NEW,2024-02-21
262,1413,170.45,PENDING,2024-06-09
263,1234,110.06,COMPLETE,2024-06-16
264,1897,13.42,COMPLETE,2024-05-07
265,1061,145.05,COMPLETE,2024-02-08
266,1255,23.6,PENDING,2024-03-22
267,1560,39.07,COMPLETE,2024-04-13
268,1904,171.06,PENDING,2024-05-08
269,1347,76.9,COMPLETE,2024-01-11
270,1670,196.57,PENDING,2024-07-03
271,1123,23.96,PENDING,2024-06-26
272,1481,93.59,NEW,2024-05-30
273,1316,8.75,PENDING,2024-06-07
274,1503,103.02,NEW,2024-02-11
275,1718,143.77,COMPLETE,2024-04-08
276,1047,87.93,COMPLETE,2024-01-07
277,1408,30.96,COMPLETE,2024-05-23
278,1931,3.18,NEW,2024-03-30
279,1135,12.72,NEW,2024-04-21
280,1200,97.37,COMPLETE,2024-02-29
281,1249,272.45,PENDING,2024-04-22
282,1313,23.13,PENDING,2024-01-02
283,1868,132.81,COMPLETE,2024-05-08
284,1367,201.33,PENDING,2024-02-17
285,1428,73.58,NEW,2024-05-19
286,1829,110.64,COMPLETE,2024-07-15
287,1806,168.75,NEW,2024-02-06
288,1479,30.2,COMPLETE,2024-06-08
289,1313,35.22,NEW,2024-01-09
290,1499,0.06,COMPLETE,2024-04-08
291,1720,329.94,NEW,2024-05-26
292,1354,249.55,COMPLETE,2024-02-17
293,1484,144.63,NEW,2024-05-10
294,1210,8.24,COMPLETE,2024-05-27
295,1703,59.33,PENDING,2024-05-31
296,1043,10.75,NEW,2024-02-23
297,1540,1.6,COMPLETE,2024-04-29
298,1570,95.76,PENDING,2024-06-09
299,1582,323.98,NEW,2024-05-31
300,1091,233.17,NEW,2024-04-25
301,1264,119.32,PENDING,2024-03-15
302,1894,10.16,NEW,2024-04-22
303,1219,32.04,NEW,2024-07-18
304,1901,38.57,NEW,2024-06-12
305,1924,144.03,COMPLETE,2024-06-14
306,1441,162.07,PENDING,2024-04-13
307,1400,48.63,NEW,2024-03-24
308,1399,54.11,COMPLETE,2024-04-21
309,1726,4.55,COMPLETE,2024-04-08
310,1990,34.13,NEW,2024-06-01
311,1898,60.02,NEW,2024-04-02
312,1788,12.44,COMPLETE,2024-05-25
313,1575,60.38,PENDING,2024-05-07
314,1857,191.85,PENDING,2024-04-19
315,1803,87.07,PENDING,2024-03-22
316,1489,8.22,COMPLETE,2024-07-12
317,1484,21.28,NEW,2024-02-23
318,1756,64.35,COMPLETE,2024-06-11
319,1469,44.86,COMPLETE,2024-07-07
320,1573,44.43,PENDING,2024-06-17
321,1937,75.35,COMPLETE,2024-06-09
322,1843,87.8,NEW,2024-03-08
323,1681,159.39,PENDING,2024-02-02
324,1444,41.7,PENDING,2024-05-21
325,1268,163.71,PENDING,2024-01-21
326,1266,41.34,NEW,2024-02-17
327,1053,5.7,PENDING,2024-05-27
328,1527,80.79,NEW,2024-05-07
329,1519,88.65,NEW,2024-05-15
330,1615,272.63,NEW,2024-05-14
331,1058,129.49,COMPLETE,2024-07-13
332,1824,249.83,NEW,2024-05-24
333,1039,238.97,COMPLETE,2024-05-07
334,1236,92.78,NEW,2024-02-02
335,1954,75.03,NEW,2024-06-24
336,1385,81.52,PENDING,2024-07-05
337,1605,383.19,NEW,2024-04-24
338,1733,148.35,PENDING,2024-04-28
339,1715,11.23,PENDING,2024-01-22
340,1649,150.7,COMPLETE,2024-06-06
341,1299,18.7,COMPLETE,2024-02-07
342,1394,59.3,PENDING,2024-04-18
343,1206,23.63,COMPLETE,2024-02-20
344,1335,116.98,NEW,2024-06-30
345,1592,209.81,PENDING,2024-01-08
346,1729,34.3,COMPLETE,2024-01-27
347,1513,8.56,NEW,2024-01-27
348,1177,35.45,NEW,2024-01-21
349,1395,111.58,NEW,2024-01-30
350,1370,39.86,PENDING,2024-04-06
351,1857,32.59,PENDING,2024-01-28
352,1790,20.39,PENDING,2024-04-20
353,1657,68.82,PENDING,2024-07-10
354,1317,32.29,PENDING,2024-07-15
355,1735,131.31,COMPLETE,2024-03-01
356,1368,7.97,NEW,2024-02-17
357,1383,109.07,COMPLETE,2024-05-26
358,1061,27.12,COMPLETE,2024-01-04
359,1805,67.19,COMPLETE,2024-02-04
360,1504,33.7,COMPLETE,2024-07-10
361,1238,128.29,PENDING,2024-02-18
362,1194,290.6,NEW,2024-01-17
363,1677,248.98,PENDING,2024-06-20
364,1962,87.57,COMPLETE,2024-06-06
365,1221,62.1,PENDING,2024-02-15
366,1060,170.54,NEW,2024-04-26
367,1128,114.99,NEW,2024-01-06
368,1989,20.28,COMPLETE,2024-04-08
369,1684,171.99,NEW,2024-05-03
370,1991,56.02,NEW,2024-02-06
371,1155,20.95,PENDING,2024-01-24
372,1916,33.1,COMPLETE,2024-04-02
373,1377,31.13,PENDING,2024-02-15
374,1621,73.23,PENDING,2024-06-29
375,1780,26.71,COMPLETE,2024-04-04
376,1922,13.19,NEW,2024-04-08
377,1867,13.2,COMPLETE,2024-07-06
378,1902,87.53,PENDING,2024-04-25
379,1789,132.71,PENDING,2024-07-09
380,1585,38.79,COMPLETE,2024-06-08
381,1998,3.53,COMPLETE,2024-06-09
382,1436,13.61,PENDING,2024-03-07
383,1974,246.15,NEW,2024-05-07
384,1206,68.03,COMPLETE,2024-01-18
385,1387,60.44,PENDING,2024-01-25
386,1479,3.88,COMPLETE,2024-02-23
387,1790,130.43,COMPLETE,2024-02-27
388,1886,75.09,NEW,2024-03-07
389,1837,22.57,COMPLETE,2024-04-13
390,1983,11.66,PENDING,2024-06-22
391,1339,48.35,COMPLETE,2024-01-24
392,1868,181.5,NEW,2024-04-23
393,1339,200.47,COMPLETE,2024-02-01
394,1203,92.34,COMPLETE,2024-06-23
395,1160,130.03,COMPLETE,2024-03-26
396,1539,12.23,COMPLETE,2024-05-30
397,1391,88.7,PENDING,2024-07-12
398,1768,109.95,PENDING,2024-05-06
399,1676,22.4,COMPLETE,2024-06-03
400,1574,212.16,COMPLETE,2024-05-09
401,1533,21.69,COMPLETE,2024-01-17
402,1069,37.61,COMPLETE,2024-04-13
403,1892,96.91,PENDING,2024-06-09
404,1404,101.71,PENDING,2024-05-16
405,1607,120.19,NEW,2024-02-12
406,1674,11.88,COMPLETE,2024-06-24
407,1590,189.36,PENDING,2024-02-08
408,1516,76.11,COMPLETE,2024-06-18
409,1827,63.74,NEW,2024-01-26
410,1119,396.85,NEW,2024-04-08
411,1813,134.85,NEW,2024-02-19
412,1689,12.56,NEW,2024-06-01
413,1687,141.28,COMPLETE,2024-05-31
414,1901,10.01,NEW,2024-01-13
415,1216,2.79,NEW,2024-02-29
416,1055,51.69,NEW,2024-05-14
417,1365,504.81,COMPLETE,2024-02-26
418,1698,19.22,COMPLETE,2024-02-05
419,1503,111.67,NEW,2024-06-21
420,1743,19.04,COMPLETE,2024-01-20
421,1766,129.02,PENDING,2024-03-05
422,1924,70.39,NEW,2024-01-08
423,1454,113.93,COMPLETE,2024-05-23
424,1103,22.67,NEW,2024-05-21
425,1076,136.9,COMPLETE,2024-04-24
426,1229,543.05,NEW,2024-05-22
427,1913,109.56,COMPLETE,2024-04-01
428,1257,68.02,NEW,2024-04-07
429,1263,256.62,PENDING,2024-03-06
430,1330,1.6,COMPLETE,2024-02-01
431,1992,130.91,NEW,2024-07-09
432,1181,219.59,PENDING,2024-03-26
433,1892,6.37,PENDING,2024-02-20
434,1767,59.8,PENDING,2024-06-01
435,1549,22.91,NEW,2024-07-04
436,1687,83.59,NEW,2024-03-03
437,1026,104.85,COMPLETE,2024-07-08
438,1275,36.04,PENDING,2024-05-04
439,1651,61.62,COMPLETE,2024-05-29
440,1298,32.76,NEW,2024-02-27
441,1956,46.11,PENDING,2024-02-27
442,1798,17.38,PENDING,2024-03-26
443,1090,216.77,PENDING,2024-02-18
444,1479,1.01,PENDING,2024-06-28
445,1572,214.05,NEW,2024-06-18
446,1457,84.79,NEW,2024-03-10
447,1450,40.3,NEW,2024-01-15
448,1364,128.39,PENDING,2024-02-23
449,1858,70.88,NEW,2024-07-06
450,1674,69.14,COMPLETE,2024-04-10
451,1350,11.67,PENDING,2024-01-08
452,1654,49.35,PENDING,2024-02-22
453,1399,27.58,PENDING,2024-02-29
454,1252,1.58,NEW,2024-04-17
455,1780,44.64,PENDING,2024-01-05
456,1880,9.41,COMPLETE,2024-04-12
457,1802,29.68,COMPLETE,2024-07-14
458,1458,9.71,COMPLETE,2024-01-06
459,1698,10.64,COMPLETE,2024-04-18
460,1916,22.19,PENDING,2024-04-25
461,1498,879.99,NEW,2024-04-03
462,1949,0.22,COMPLETE,2024-02-16
463,1970,101.8,NEW,2024-04-08
464,1925,15.23,PENDING,2024-02-24
465,1507,253.36,COMPLETE,2024-06-16
466,1303,9.83,COMPLETE,2024-02-21
467,1500,310.25,PENDING,2024-05-23
468,1802,94.4,PENDING,2024-01-13
469,1597,0.13,COMPLETE,2024-04-23
470,1165,224.44,COMPLETE,2024-05-03
471,1414,73.75,COMPLETE,2024-04-15
472,1461,30.47,COMPLETE,2024-06-06
473,1919,145.79,NEW,2024-05-26
474,1113,261.27,PENDING,2024-05-24
475,1432,66.1,NEW,2024-04-29
476,1991,37.91,NEW,2024-03-03
477,1355,155.56,COMPLETE,2024-01-19
478,1927,114.5,COMPLETE,2024-04-01
479,1694,219.6,NEW,2024-02-27
480,1206,117.93,NEW,2024-07-01
481,1767,27.91,NEW,2024-03-30
482,1234,268.32,COMPLETE,2024-04-26
483,1441,11.07,NEW,2024-03-02
484,1354,31.19,NEW,2024-01-23
485,1514,73.44,NEW,2024-05-06
486,1207,83.41,PENDING,2024-05-16
487,1708,1.54,COMPLETE,2024-05-19
488,1852,151.67,NEW,2024-05-08
489,1124,44.88,PENDING,2024-02-27
490,1137,52.16,NEW,2024-05-01
491,1338,165.74,PENDING,2024-01-01
492,1536,47.69,COMPLETE,2024-02-03
493,1067,4.84,NEW,2024-04-05
494,1572,19.41,NEW,2024-05-05
495,1540,312.14,COMPLETE,2024-04-27
496,1382,7.3,NEW,2024-02-17
497,1018,43.84,COMPLETE,2024-03-29
498,1682,69.95,PENDING,2024-04-26
499,1449,67.98,NEW,2024-05-08
500,1073,0.4,COMPLETE,2024-01-16
501,1572,69.55,COMPLETE,2024-07-07
502,1938,48.41,PENDING,2024-07-10
503,1664,357.84,NEW,2024-07-09
504,1275,17.34,PENDING,2024-03-09
505,1047,43.72,PENDING,2024-01-22
506,1210,54.38,PENDING,2024-04-02
507,1854,49.54,COMPLETE,2024-07-13
508,1919,109.61,NEW,2024-03-16
509,1650,24.27,PENDING,2024-06-02
510,1621,24.98,PENDING,2024-05-23
511,1993,130.64,PENDING,2024-06-27
512,1694,69.37,COMPLETE,2024-03-26
513,1539,53.64,NEW,2024-07-03
514,1708,18.54,PENDING,2024-01-29
515,1190,20.77,COMPLETE,2024-03-09
516,1314,1.06,PENDING,2024-02-16
517,1900,9.59,PENDING,2024-04-03
518,1562,81.38,PENDING,2024-07-08
519,1660,222.45,COMPLETE,2024-07-15
520,1779,33.85,COMPLETE,2024-05-23
521,1561,39.71,PENDING,2024-06-24
522,1899,12.29,NEW,2024-03-25
523,1757,49.21,COMPLETE,2024-02-08
524,1112,3.79,PENDING,2024-04-09
525,1169,249.62,PENDING,2024-02-02
526,1467,111.81,COMPLETE,2024-04-10
527,1677,468.3,PENDING,2024-01-23
528,1920,214.41,NEW,2024-01-10
529,1013,64.05,COMPLETE,2024-03-09
530,1714,73.33,PENDING,2024-04-09
531,1287,21.14,PENDING,2024-02-03
532,1906,62.0,NEW,2024-06-28
533,1188,233.33,PENDING,2024-05-17
534,1913,5.22,NEW,2024-05-26
535,1154,199.18,PENDING,2024-07-04
536,1566,41.7,COMPLETE,2024-04-05
537,1693,229.77,COMPLETE,2024-01-01
538,1721,282.82,PENDING,2024-03-09
539,1887,111.13,COMPLETE,2024-01-04
540,1470,109.19,COMPLETE,2024-01-16
541,1074,60.29,COMPLETE,2024-01-24
542,1276,180.51,NEW,2024-03-20
543,1939,326.0,COMPLETE,2024-01-02
544,1644,149.2,PENDING,2024-05-07
545,1342,97.27,NEW,2024-06-08
546,1424,93.34,NEW,2024-03-24
547,1570,189.36,COMPLETE,2024-05-31
548,1510,77.91,NEW,2024-05-19
549,1856,162.89,NEW,2024-06-26
550,1181,71.11,COMPLETE,2024-06-11
551,1457,6.45,COMPLETE,2024-05-03
552,1917,48.44,COMPLETE,2024-02-02
553,1850,58.78,NEW,2024-06-09
554,1832,15.27,NEW,2024-07-07
555,1063,10.81,COMPLETE,2024-06-27
556,1838,76.67,NEW,2024-06-19
557,1259,8.9,COMPLETE,2024-04-10
558,1192,36.09,NEW,2024-01-12
559,1654,136.49,COMPLETE,2024-03-07
560,1615,333.63,PENDING,2024-03-05
561,1971,126.54,NEW,2024-06-09
562,1405,490.97,COMPLETE,2024-06-16
563,1725,119.84,NEW,2024-03-14
564,1753,34.78,PENDING,2024-02-12
565,1942,111.49,COMPLETE,2024-02-13
566,1720,121.12,PENDING,2024-01-29
567,1092,46.48,PENDING,2024-05-20
568,1429,1.79,PENDING,2024-01-12
569,1653,121.47,NEW,2024-04-04
570,1433,2.19,NEW,2024-02-15
571,1403,99.75,COMPLETE,2024-05-09
572,1433,17.87,COMPLETE,2024-02-04
573,1111,83.38,NEW,2024-03-21
574,1928,70.1,NEW,2024-03-30
575,1374,1.36,COMPLETE,2024-01-08
576,1058,45.08,COMPLETE,2024-04-02
577,1042,91.9,PENDING,2024-06-02
578,1206,188.79,COMPLETE,2024-03-30
579,1779,219.5,COMPLETE,2024-06-10
580,1295,66.14,NEW,2024-04-24
581,1117,130.35,NEW,2024-04-14
582,1531,38.05,NEW,2024-05-14
583,1221,41.88,COMPLETE,2024-07-14
584,1165,21.62,COMPLETE,2024-02-27
585,1642,82.54,COMPLETE,2024-04-23
586,1155,37.77,NEW,2024-03-15
587,1183,8.81,COMPLETE,2024-06-05
588,1089,115.52,COMPLETE,2024-04-29
589,1093,123.02,COMPLETE,2024-06-12
590,1012,44.63,NEW,2024-01-21
591,1972,7.98,COMPLETE,2024-06-12
592,1833,55.56,NEW,2024-05-17
593,1804,58.4,COMPLETE,2024-04-10
594,1944,110.46,COMPLETE,2024-05-31
595,1741,37.89,NEW,2024-07-10
596,1833,114.76,COMPLETE,2024-06-25
597,1803,205.17,NEW,2024-04-08
598,1437,27.11,COMPLETE,2024-02-05
599,1537,385.94,NEW,2024-04-05
600,1586,48.84,COMPLETE,2024-05-31
601,1967,31.1,COMPLETE,2024-05-30
602,1875,54.73,PENDING,2024-07-08
603,1935,9.92,PENDING,2024-02-06
604,1810,13.43,PENDING,2024-01-12
605,1149,53.52,NEW,2024-04-22
606,1659,143.74,PENDING,2024-07-01
607,1007,230.57,COMPLETE,2024-01-13
608,1028,109.31,COMPLETE,2024-01-23
609,1295,11.12,COMPLETE,2024-04-08
610,1985,111.48,PENDING,2024-04-14
611,1925,100.9,COMPLETE,2024-01-30
612,1720,163.87,COMPLETE,2024-01-17
613,1639,174.44,PENDING,2024-04-22
614,1339,202.65,NEW,2024-03-02
615,1627,53.47,PENDING,2024-03-24
616,1438,119.69,COMPLETE,2024-04-21
617,1143,31.23,PENDING,2024-03-26
618,1941,731.77,COMPLETE,2024-05-20
619,1829,19.28,NEW,2024-07-05
620,1746,1.02,COMPLETE,2024-01-19
621,1518,16.11,PENDING,2024-06-25
622,1975,149.55,COMPLETE,2024-04-09
623,1044,59.2,NEW,2024-05-19
624,1954,59.33,NEW,2024-07-07
625,1238,310.16,COMPLETE,2024-05-26
626,1951,252.12,COMPLETE,2024-03-16
627,1943,37.28,PENDING,2024-01-09
628,1154,23.45,NEW,2024-07-17
629,1180,188.71,PENDING,2024-01-28
630,1214,236.47,NEW,2024-05-07
631,1087,78.0,NEW,2024-02-21
632,1255,99.27,COMPLETE,2024-03-23
633,1510,29.69,COMPLETE,2024-04-20
634,1072,161.35,NEW,2024-05-23
635,1930,100.0,PENDING,2024-04-26
636,1178,70.02,NEW,2024-03-09
637,1211,6.2,NEW,2024-04-08
638,1804,247.62,NEW,2024-05-19
639,1233,95.57,PENDING,2024-01-25
640,1464,21.4,NEW,2024-06-28
641,1750,93.24,PENDING,2024-05-02
642,1222,113.15,NEW,2024-02-22
643,1630,74.61,NEW,2024-05-30
644,1824,126.62,NEW,2024-05-23
645,1263,87.1,COMPLETE,2024-02-26
646,1206,295.21,COMPLETE,2024-02-08
647,1606,5.52,COMPLETE,2024-04-18
648,1884,11.23,PENDING,2024-06-29
649,1733,19.08,PENDING,2024-02-11
650,1365,117.17,PENDING,2024-07-04
651,1275,103.73,NEW,2024-06-15
